,type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,departure.terminal,departure.gate,departure.delay,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.terminal,arrival.gate,arrival.estimatedTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,departure.estimatedTime,arrival.delay
0,arrival,scheduled,blz,fwcl,2023-09-19t09:10:00.000,llw,fwki,2023-09-19t09:40:00.000,ethiopian airlines,et,eth,43,et43,eth43,,,,,,,,,,,,,,,,,,,,
1,arrival,landed,add,haab,2023-09-19t09:50:00.000,llw,fwki,2023-09-19t12:50:00.000,united airlines,ua,ual,7205,ua7205,ual7205,2,c5,19.0,2023-09-19t10:08:00.000,2023-09-19t10:08:00.000,2023-09-19t10:08:00.000,1,1,2023-09-19t12:18:00.000,2023-09-19t12:20:00.000,2023-09-19t12:20:00.000,2023-09-19t12:20:00.000,ethiopian airlines,et,eth,877,et877,eth877,,
2,arrival,landed,add,haab,2023-09-19t09:50:00.000,llw,fwki,2023-09-19t12:50:00.000,ethiopian airlines,et,eth,877,et877,eth877,2,c5,19.0,2023-09-19t10:08:00.000,2023-09-19t10:08:00.000,2023-09-19t10:08:00.000,1,1,2023-09-19t12:18:00.000,2023-09-19t12:20:00.000,2023-09-19t12:20:00.000,2023-09-19t12:20:00.000,,,,,,,,
3,arrival,landed,nbo,hkjk,2023-09-19t12:20:00.000,llw,fwki,2023-09-19t13:35:00.000,air france,af,afr,3106,af3106,afr3106,1a,,8.0,2023-09-19t12:28:00.000,2023-09-19t12:28:00.000,2023-09-19t12:28:00.000,,,2023-09-19t13:29:00.000,2023-09-19t13:27:00.000,2023-09-19t13:27:00.000,2023-09-19t13:27:00.000,kenya airways,kq,kqa,756,kq756,kqa756,2023-09-19t12:20:00.000,
4,arrival,landed,nbo,hkjk,2023-09-19t12:20:00.000,llw,fwki,2023-09-19t13:35:00.000,klm,kl,klm,4139,kl4139,klm4139,1a,,8.0,2023-09-19t12:28:00.000,2023-09-19t12:28:00.000,2023-09-19t12:28:00.000,,,2023-09-19t13:29:00.000,2023-09-19t13:27:00.000,2023-09-19t13:27:00.000,2023-09-19t13:27:00.000,kenya airways,kq,kqa,756,kq756,kqa756,2023-09-19t12:20:00.000,
5,arrival,landed,nbo,hkjk,2023-09-19t12:20:00.000,llw,fwki,2023-09-19t13:35:00.000,titan airways malta,tm,tmt,756,tm756,tmt756,1a,,8.0,2023-09-19t12:28:00.000,2023-09-19t12:28:00.000,2023-09-19t12:28:00.000,,,2023-09-19t13:29:00.000,2023-09-19t13:27:00.000,2023-09-19t13:27:00.000,2023-09-19t13:27:00.000,kenya airways,kq,kqa,756,kq756,kqa756,2023-09-19t12:20:00.000,
6,arrival,landed,nbo,hkjk,2023-09-19t12:20:00.000,llw,fwki,2023-09-19t13:35:00.000,delta air lines,dl,dal,7565,dl7565,dal7565,1a,,8.0,2023-09-19t12:28:00.000,2023-09-19t12:28:00.000,2023-09-19t12:28:00.000,,,2023-09-19t13:29:00.000,2023-09-19t13:27:00.000,2023-09-19t13:27:00.000,2023-09-19t13:27:00.000,kenya airways,kq,kqa,756,kq756,kqa756,2023-09-19t12:20:00.000,
7,arrival,landed,nbo,hkjk,2023-09-19t12:20:00.000,llw,fwki,2023-09-19t13:35:00.000,kenya airways,kq,kqa,756,kq756,kqa756,1a,,8.0,2023-09-19t12:28:00.000,2023-09-19t12:28:00.000,2023-09-19t12:28:00.000,,,2023-09-19t13:29:00.000,2023-09-19t13:27:00.000,2023-09-19t13:27:00.000,2023-09-19t13:27:00.000,,,,,,,2023-09-19t12:20:00.000,
8,arrival,scheduled,blz,fwcl,2023-09-19t15:05:00.000,llw,fwki,2023-09-19t15:45:00.000,malawian airlines,3w,mwi,21,3w21,mwi21,,,,,,,,,,,,,,,,,,,2023-09-19t15:04:00.000,
9,arrival,unknown,nbo,hkjk,2023-09-20t07:00:00.000,llw,fwki,2023-09-20t08:30:00.000,kenya airways,kq,kqa,2730,kq2730,kqa2730,,,,,,,,,,,,,,,,,,,,
